0,1,2,6,7,8,9,10,11,12,13,14,18,19,20,21,22,23,24,25,26
Periods,Periods,Periods,Total Number of Shares Purchased,Total Number of Shares Purchased,Total Number of Shares Purchased,,,,Average Price Paid Per Share,Average Price Paid Per Share,Average Price Paid Per Share,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,,,,Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1)
"July 2, 2023 to August 5, 2023:","July 2, 2023 to August 5, 2023:","July 2, 2023 to August 5, 2023:",,,,,,,,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,33864,33864,,,,,$,191.62,,33864,33864,,,,,,,
"August 6, 2023 to September 2, 2023:","August 6, 2023 to September 2, 2023:","August 6, 2023 to September 2, 2023:",,,,,,,,,,,,,,,,,,
August 2023 ASRs,August 2023 ASRs,August 2023 ASRs,22085,22085,,(2),(2),(2),(2),(2),(2),22085,22085,,(2),(2),(2),,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,30299,30299,,,,,$,178.99,,30299,30299,,,,,,,
"September 3, 2023 to September 30, 2023:","September 3, 2023 to September 30, 2023:","September 3, 2023 to September 30, 2023:",,,,,,,,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,20347,20347,,,,,$,176.31,,20347,20347,,,,,,,
Total,Total,Total,106595,106595,,,,,,,,,,,,,,$,74069,
