0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
,,,"September 30, 2023","September 30, 2023","September 30, 2023",,,,"September 24, 2022","September 24, 2022","September 24, 2022",,,,"September 25, 2021","September 25, 2021","September 25, 2021"
Net income,Net income,Net income,$,96995,,,,,$,99803,,,,,$,94680,
Other comprehensive income/(loss):,Other comprehensive income/(loss):,Other comprehensive income/(loss):,,,,,,,,,,,,,,,
"Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax","Change in foreign currency translation, net of tax",(765),(765),,,,,"(1,511)","(1,511)",,,,,501,501,
"Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:","Change in unrealized gains/losses on derivative instruments, net of tax:",,,,,,,,,,,,,,,
Change in fair value of derivative instruments,Change in fair value of derivative instruments,Change in fair value of derivative instruments,323,323,,,,,3212,3212,,,,,32,32,
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,"(1,717)","(1,717)",,,,,"(1,074)","(1,074)",,,,,1003,1003,
Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,Total change in unrealized gains/losses on derivative instruments,"(1,394)","(1,394)",,,,,2138,2138,,,,,1035,1035,
"Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:","Change in unrealized gains/losses on marketable debt securities, net of tax:",,,,,,,,,,,,,,,
Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,Change in fair value of marketable debt securities,1563,1563,,,,,"(12,104)","(12,104)",,,,,(694),(694),
Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,Adjustment for net (gains)/losses realized and included in net income,253,253,,,,,205,205,,,,,(273),(273),
Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,Total change in unrealized gains/losses on marketable debt securities,1816,1816,,,,,"(11,899)","(11,899)",,,,,(967),(967),
Total other comprehensive income/(loss),Total other comprehensive income/(loss),Total other comprehensive income/(loss),(343),(343),,,,,"(11,272)","(11,272)",,,,,569,569,
Total comprehensive income,Total comprehensive income,Total comprehensive income,$,96652,,,,,$,88531,,,,,$,95249,
