0,1,2,3,4,5,9,10,11,15,16,17
,,,2023,2023.0,2023.0,2022,2022.0,2022.0,2021,2021.0,2021.0
Americas:,Americas:,Americas:,,,,,,,,,
Net sales,Net sales,Net sales,$,162560.0,,$,169658.0,,$,153306.0,
Operating income,Operating income,Operating income,$,60508.0,,$,62683.0,,$,53382.0,
Europe:,Europe:,Europe:,,,,,,,,,
Net sales,Net sales,Net sales,$,94294.0,,$,95118.0,,$,89307.0,
Operating income,Operating income,Operating income,$,36098.0,,$,35233.0,,$,32505.0,
Greater China:,Greater China:,Greater China:,,,,,,,,,
Net sales,Net sales,Net sales,$,72559.0,,$,74200.0,,$,68366.0,
Operating income,Operating income,Operating income,$,30328.0,,$,31153.0,,$,28504.0,
Japan:,Japan:,Japan:,,,,,,,,,
Net sales,Net sales,Net sales,$,24257.0,,$,25977.0,,$,28482.0,
Operating income,Operating income,Operating income,$,11888.0,,$,12257.0,,$,12798.0,
Rest of Asia Pacific:,Rest of Asia Pacific:,Rest of Asia Pacific:,,,,,,,,,
Net sales,Net sales,Net sales,$,29615.0,,$,29375.0,,$,26356.0,
Operating income,Operating income,Operating income,$,12066.0,,$,11569.0,,$,9817.0,
