0,1,2,3,4,5,9,10,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024,2023,2023,2023,2023.0,2023.0,2023.0,2023,2023,2023
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate,Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate
2013 – 2023 debt issuances:,2013 – 2023 debt issuances:,2013 – 2023 debt issuances:,,,,,,,,,,,,,,,,,,,,,
Fixed-rate 0.000% – 4.850% notes,Fixed-rate 0.000% – 4.850% notes,Fixed-rate 0.000% – 4.850% notes,2024 – 2062,2024 – 2062,2024 – 2062,$,97341,,,,,0.03% – 6.65%,0.03% – 6.65%,0.03% – 6.65%,$,106572,,,,,0.03% – 6.72%,0.03% – 6.72%,0.03% – 6.72%
Total term debt principal,Total term debt principal,Total term debt principal,,,,97341,97341,,,,,,,,106572,106572,,,,,,,
"Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net",,,,(321),(321),,,,,,,,(356),(356),,,,,,,
Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,,,,(358),(358),,,,,,,,"(1,113)","(1,113)",,,,,,,
Total term debt,Total term debt,Total term debt,,,,96662,96662,,,,,,,,105103,105103,,,,,,,
Less: Current portion of term debt,Less: Current portion of term debt,Less: Current portion of term debt,,,,"(10,912)","(10,912)",,,,,,,,"(9,822)","(9,822)",,,,,,,
Total non-current portion of term debt,Total non-current portion of term debt,Total non-current portion of term debt,,,,$,85750,,,,,,,,$,95281,,,,,,,
