0,1,2,3,4,5,9,10,11,15,16,17
,,,2025,2025,2025,2024,2024,2024,2023,2023,2023
Computed expected tax,Computed expected tax,Computed expected tax,$,27873,,$,25932,,$,23885,
Earnings of foreign subsidiaries,Earnings of foreign subsidiaries,Earnings of foreign subsidiaries,"(8,120)","(8,120)",,"(5,311)","(5,311)",,"(5,744)","(5,744)",
Change in valuation allowance,Change in valuation allowance,Change in valuation allowance,2091,2091,,—,—,,—,—,
"Research and development credit, net","Research and development credit, net","Research and development credit, net","(1,049)","(1,049)",,"(1,397)","(1,397)",,"(1,212)","(1,212)",
Impact of the State Aid Decision,Impact of the State Aid Decision,Impact of the State Aid Decision,(486),(486),,10246,10246,,—,—,
Other,Other,Other,410,410,,279,279,,(188),(188),
Provision for income taxes,Provision for income taxes,Provision for income taxes,$,20719,,$,29749,,$,16741,
Effective tax rate,Effective tax rate,Effective tax rate,15.6,15.6,%,24.1,24.1,%,14.7,14.7,%
