0,1,2,3,4,5,9,10,11
,,,2025,2025,2025.0,2024,2024,2024.0
Deferred tax assets:,Deferred tax assets:,Deferred tax assets:,,,,,,
Capitalized research and development,Capitalized research and development,Capitalized research and development,$,15041,,$,10739,
Tax credit carryforwards,Tax credit carryforwards,Tax credit carryforwards,8643,8643,,8856,8856,
Accrued liabilities and other reserves,Accrued liabilities and other reserves,Accrued liabilities and other reserves,6154,6154,,6114,6114,
Deferred revenue,Deferred revenue,Deferred revenue,2953,2953,,3413,3413,
Lease liabilities,Lease liabilities,Lease liabilities,2577,2577,,2410,2410,
Other,Other,Other,3049,3049,,3341,3341,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,38417,38417,,34873,34873,
Less: Valuation allowance,Less: Valuation allowance,Less: Valuation allowance,"(10,966)","(10,966)",,"(8,866)","(8,866)",
"Total deferred tax assets, net","Total deferred tax assets, net","Total deferred tax assets, net",27451,27451,,26007,26007,
Deferred tax liabilities:,Deferred tax liabilities:,Deferred tax liabilities:,,,,,,
Depreciation,Depreciation,Depreciation,3276,3276,,2551,2551,
Right-of-use assets,Right-of-use assets,Right-of-use assets,2300,2300,,2125,2125,
Minimum tax on foreign earnings,Minimum tax on foreign earnings,Minimum tax on foreign earnings,1217,1217,,1674,1674,
Other,Other,Other,678,678,,455,455,
Total deferred tax liabilities,Total deferred tax liabilities,Total deferred tax liabilities,7471,7471,,6805,6805,
Net deferred tax assets,Net deferred tax assets,Net deferred tax assets,$,19980,,$,19202,
