0,1,2,6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference
Exhibit Number,Exhibit Number,Exhibit Number,Exhibit Description,Exhibit Description,Exhibit Description,Form,Form,Form,,,,Exhibit,Exhibit,Exhibit,,,,Filing Date/ Period End Date,Filing Date/ Period End Date,Filing Date/ Period End Date
4.26,4.26,4.26,"Indenture, dated as of October 28, 2021, between the Registrant and The Bank of New York Mellon Trust Company, N.A., as Trustee.","Indenture, dated as of October 28, 2021, between the Registrant and The Bank of New York Mellon Trust Company, N.A., as Trustee.","Indenture, dated as of October 28, 2021, between the Registrant and The Bank of New York Mellon Trust Company, N.A., as Trustee.",S-3,S-3,S-3,,,,4.1,4.1,4.1,,,,10/29/21,10/29/21,10/29/21
4.27,4.27,4.27,"Officer’s Certificate of the Registrant, dated as of August 8, 2022, including forms of global notes representing the 3.250% Notes due 2029, 3.350% Notes due 2032, 3.950% Notes due 2052 and 4.100% Notes due 2062.","Officer’s Certificate of the Registrant, dated as of August 8, 2022, including forms of global notes representing the 3.250% Notes due 2029, 3.350% Notes due 2032, 3.950% Notes due 2052 and 4.100% Notes due 2062.","Officer’s Certificate of the Registrant, dated as of August 8, 2022, including forms of global notes representing the 3.250% Notes due 2029, 3.350% Notes due 2032, 3.950% Notes due 2052 and 4.100% Notes due 2062.",8-K,8-K,8-K,,,,4.1,4.1,4.1,,,,8/8/22,8/8/22,8/8/22
4.28,4.28,4.28,"Officer’s Certificate of the Registrant, dated as of May 10, 2023, including forms of global notes representing the 4.421% Notes due 2026, 4.000% Notes due 2028, 4.150% Notes due 2030, 4.300% Notes due 2033 and 4.850% Notes due 2053.","Officer’s Certificate of the Registrant, dated as of May 10, 2023, including forms of global notes representing the 4.421% Notes due 2026, 4.000% Notes due 2028, 4.150% Notes due 2030, 4.300% Notes due 2033 and 4.850% Notes due 2053.","Officer’s Certificate of the Registrant, dated as of May 10, 2023, including forms of global notes representing the 4.421% Notes due 2026, 4.000% Notes due 2028, 4.150% Notes due 2030, 4.300% Notes due 2033 and 4.850% Notes due 2053.",8-K,8-K,8-K,,,,4.1,4.1,4.1,,,,5/10/23,5/10/23,5/10/23
4.29,4.29,4.29,"Officer’s Certificate of the Registrant, dated as of May 12, 2025, including forms of global notes representing the 4.000% Notes due 2028, 4.200% Notes due 2030, 4.500% Notes due 2032 and 4.750% Notes due 2035.","Officer’s Certificate of the Registrant, dated as of May 12, 2025, including forms of global notes representing the 4.000% Notes due 2028, 4.200% Notes due 2030, 4.500% Notes due 2032 and 4.750% Notes due 2035.","Officer’s Certificate of the Registrant, dated as of May 12, 2025, including forms of global notes representing the 4.000% Notes due 2028, 4.200% Notes due 2030, 4.500% Notes due 2032 and 4.750% Notes due 2035.",8-K,8-K,8-K,,,,4.1,4.1,4.1,,,,5/12/25,5/12/25,5/12/25
4.30*,4.30*,4.30*,Apple Inc. Deferred Compensation Plan.,Apple Inc. Deferred Compensation Plan.,Apple Inc. Deferred Compensation Plan.,S-8,S-8,S-8,,,,4.1,4.1,4.1,,,,8/23/18,8/23/18,8/23/18
10.1*,10.1*,10.1*,"Apple Inc. Employee Stock Purchase Plan, as amended as of November 6, 2024.","Apple Inc. Employee Stock Purchase Plan, as amended as of November 6, 2024.","Apple Inc. Employee Stock Purchase Plan, as amended as of November 6, 2024.",10-Q,10-Q,10-Q,,,,10.1,10.1,10.1,,,,12/28/24,12/28/24,12/28/24
10.2*,10.2*,10.2*,Form of Indemnification Agreement between the Registrant and each director and executive officer of the Registrant.,Form of Indemnification Agreement between the Registrant and each director and executive officer of the Registrant.,Form of Indemnification Agreement between the Registrant and each director and executive officer of the Registrant.,10-Q,10-Q,10-Q,,,,10.2,10.2,10.2,,,,6/27/09,6/27/09,6/27/09
10.3*,10.3*,10.3*,"Apple Inc. Non-Employee Director Stock Plan, as amended November 6, 2024.","Apple Inc. Non-Employee Director Stock Plan, as amended November 6, 2024.","Apple Inc. Non-Employee Director Stock Plan, as amended November 6, 2024.",10-Q,10-Q,10-Q,,,,10.2,10.2,10.2,,,,12/28/24,12/28/24,12/28/24
10.4*,10.4*,10.4*,"Apple Inc. 2014 Employee Stock Plan, as amended and restated as of October 1, 2017.","Apple Inc. 2014 Employee Stock Plan, as amended and restated as of October 1, 2017.","Apple Inc. 2014 Employee Stock Plan, as amended and restated as of October 1, 2017.",10-K,10-K,10-K,,,,10.8,10.8,10.8,,,,9/30/17,9/30/17,9/30/17
