0,1,2,6,7,8,12,13,14
Name,Name,Name,Title,Title,Title,Date,Date,Date
/s/ Timothy D. Cook,/s/ Timothy D. Cook,/s/ Timothy D. Cook,Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),Chief Executive Officer and Director (Principal Executive Officer),"October 31, 2025","October 31, 2025","October 31, 2025"
TIMOTHY D. COOK,TIMOTHY D. COOK,TIMOTHY D. COOK,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Kevan Parekh,/s/ Kevan Parekh,/s/ Kevan Parekh,"Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","Senior Vice President, Chief Financial Officer (Principal Financial Officer)","October 31, 2025","October 31, 2025","October 31, 2025"
KEVAN PAREKH,KEVAN PAREKH,KEVAN PAREKH,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Chris Kondo,/s/ Chris Kondo,/s/ Chris Kondo,Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),Senior Director of Corporate Accounting (Principal Accounting Officer),"October 31, 2025","October 31, 2025","October 31, 2025"
CHRIS KONDO,CHRIS KONDO,CHRIS KONDO,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Wanda Austin,/s/ Wanda Austin,/s/ Wanda Austin,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
WANDA AUSTIN,WANDA AUSTIN,WANDA AUSTIN,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Alex Gorsky,/s/ Alex Gorsky,/s/ Alex Gorsky,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
ALEX GORSKY,ALEX GORSKY,ALEX GORSKY,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Andrea Jung,/s/ Andrea Jung,/s/ Andrea Jung,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
ANDREA JUNG,ANDREA JUNG,ANDREA JUNG,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,/s/ Arthur D. Levinson,Director and Chair of the Board,Director and Chair of the Board,Director and Chair of the Board,"October 31, 2025","October 31, 2025","October 31, 2025"
ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,ARTHUR D. LEVINSON,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Monica Lozano,/s/ Monica Lozano,/s/ Monica Lozano,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
MONICA LOZANO,MONICA LOZANO,MONICA LOZANO,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,/s/ Ronald D. Sugar,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
RONALD D. SUGAR,RONALD D. SUGAR,RONALD D. SUGAR,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
/s/ Susan L. Wagner,/s/ Susan L. Wagner,/s/ Susan L. Wagner,Director,Director,Director,"October 31, 2025","October 31, 2025","October 31, 2025"
SUSAN L. WAGNER,SUSAN L. WAGNER,SUSAN L. WAGNER,,,,"October 31, 2025","October 31, 2025","October 31, 2025"
